price,city,area,district,bedrooms,apartment,bathrooms,furnished,kitchen,floor,air_condition,source
75000,مدينة الرياض,1750,حي التعاون,4,شقة,3,No,Yes,Unknown,Yes,aqar
23000,مدينة جدة,172,حي المروة,5,شقة,1,No,Yes,2,Yes,aqar
75000,مدينة الرياض,419,حيم,3,شقة,3,No,Yes,Unknown,Yes,aqar
32400,مدينة الخبر,875,حي التحلية,,شقة,2,No,Yes,7,No,aqar
77000,مدينة الرياض,110,حي الملقا,4,شقة,3,No,Yes,Unknown,No,aqar
90000,مدينة الرياض,896,حي الملقا,3,شقة,3,No,Yes,1,Yes,aqar
36000,مدينة الرياض,500,حي المونسية,1,شقة,1,Yes,Yes,Unknown,No,aqar
70000,مدينة جدة,210,حي السلامة,5,شقة,4,No,Yes,4,Yes,aqar
32000,مدينة جدة,460,حي السلامة,2,شقة,2,No,Yes,1,Yes,aqar
16000,مدينة المزاحميه,400,حي الأندلس,2,شقة,1,No,No,2,No,aqar
55000,مدينة الرياض,130,حي الملقا,3,شقة,2,No,Yes,2,Yes,aqar
100000,مدينة الرياض,147,حي حطين,2,شقة,3,No,Yes,1,Yes,aqar
32000,مدينة الرياض,313,حي الرمال,3,شقة,2,No,Yes,Unknown,No,aqar
95000,مدينة الرياض,300,حي قرطبة,3,شقة,3,No,No,2,No,aqar
35000,مدينة المدينه المنوره,227,حي الإسكان,5,شقة,3,No,Yes,2,No,aqar
36000,مدينة الرياض,462,حي المهدية,4,شقة,2,No,Yes,2,No,aqar
24000,مدينة الرياض,388,حي اليرموك,3,شقة,1,No,Yes,2,No,aqar
100000,مدينة الرياض,124,حي النرجس,3,شقة,3,Yes,Yes,Unknown,Yes,aqar
80000,مدينة الرياض,113,حي النرجس,2,شقة,2,No,Yes,2,Yes,aqar
32400,مدينة الرياض,150,حي طويق,3,شقة,2,No,No,3,No,aqar
1500,مدينة الدمام,60,حي الشعلة,2,شقة,1,Yes,Yes,Unknown,Yes,aqar
17000,مدينة الرياض,275,حي المونسية,1,شقة,1,No,Yes,Unknown,Yes,aqar
85000,مدينة الرياض,89,حي الملقا,3,شقة,3,No,Yes,1,Yes,aqar
90000,مدينة الرياض,126,حي الملقا,4,شقة,3,No,Yes,2,Yes,aqar
110000,مدينة الرياض,160,حي الملقا,3,شقة,3,No,Yes,1,Yes,aqar
3000,مدينة الرياض,300,حي الرمال,,شقة,2,No,Yes,3,No,aqar
40000,مدينة الرياض,494,حي النهضة,3,شقة,2,No,Yes,2,No,aqar
32000,مدينة جدة,675,حي الريان,4,شقة,3,No,Yes,4,No,aqar
